player,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,Matchweek,Season
Marko Dmitrović,1,rs SRB,GK,29-088,90,23,16,7,1,0,1,0,0,0,0,0,0,19,0,0,31,2020-2021
Antoine Griezmann,7,fr FRA,FW,30-032,90,33,31,2,0,0,0,0,0,0,0,0,0,29,0,1,31,2020-2021
Lionel Messi,10,ar ARG,FW,33-302,90,57,49,8,4,1,1,5,0,3,1,1,0,42,0,1,31,2020-2021
Pedri,16,es ESP,CM,18-148,90,66,66,0,0,0,0,0,0,0,0,0,0,61,0,0,31,2020-2021
Sergio Busquets,5,es ESP,CM,32-280,90,107,100,7,7,1,0,0,0,0,0,0,0,103,0,0,31,2020-2021
Frenkie de Jong,21,nl NED,"CB,CM",23-345,90,96,93,3,0,0,0,0,3,0,0,0,0,88,0,1,31,2020-2021
Jordi Alba,18,es ESP,WB,32-032,90,68,60,8,1,0,1,0,7,0,0,0,0,60,0,0,31,2020-2021
Sergi Roberto,20,es ESP,WB,29-074,63,108,98,10,1,0,0,3,9,0,0,0,0,90,0,6,31,2020-2021
   Francisco Trincão,17,pt POR,WB,21-114,27,17,17,0,0,0,0,0,0,0,0,0,0,13,0,1,31,2020-2021
Clément Lenglet,15,fr FRA,CB,25-309,45,80,80,0,0,0,0,0,0,0,0,0,0,72,0,0,31,2020-2021
   Ilaix Moriba,27,gn GUI,CM,18-093,45,39,39,0,0,0,1,0,0,0,0,0,0,36,0,0,31,2020-2021
Gerard Piqué,3,es ESP,CB,34-079,45,71,71,0,0,0,0,0,0,0,0,0,0,69,0,0,31,2020-2021
   Ronald Araújo,4,uy URU,CB,22-046,45,45,44,0,0,0,0,0,0,0,0,0,0,44,1,0,31,2020-2021
Óscar Mingueza,28,es ESP,CB,21-344,74,126,120,6,1,0,0,0,5,0,0,0,0,118,0,1,31,2020-2021
   Samuel Umtiti,23,fr FRA,CB,27-159,16,20,19,1,1,0,0,0,0,0,0,0,0,15,0,0,31,2020-2021
Marc-André ter Stegen,1,de GER,GK,28-357,90,41,35,6,0,0,0,0,0,0,0,0,0,38,0,0,31,2020-2021
Ángel Rodríguez,9,es ESP,FW,33-361,62,10,9,1,0,0,0,0,0,0,0,0,0,6,0,0,31,2020-2021
   Enes Ünal,10,tr TUR,FW,23-347,28,9,8,1,0,0,0,0,0,0,0,0,0,8,0,0,31,2020-2021
Takefusa Kubo,5,jp JPN,LW,19-322,90,18,16,2,1,0,0,0,0,1,0,0,0,15,0,1,31,2020-2021
Iglesias,29,es ESP,RW,22-293,90,15,13,2,0,0,0,2,2,0,0,0,0,7,0,1,31,2020-2021
Nemanja Maksimović,20,rs SRB,LM,26-086,45,17,14,3,0,0,0,0,0,0,0,0,0,12,0,0,31,2020-2021
   Mauro Arambarri,18,uy URU,RM,25-204,45,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0,31,2020-2021
Chema,6,es ESP,CM,29-050,75,10,9,0,0,0,0,0,0,0,0,0,0,4,1,1,31,2020-2021
   José Antonio Miranda,32,gq EQG,CM,22-274,15,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,31,2020-2021
Carles Aleñá,11,es ESP,RM,23-107,45,8,7,1,1,0,1,0,0,0,0,0,0,5,0,0,31,2020-2021
   Sabit Abdulai,35,gh GHA,LM,21-346,45,10,10,0,0,0,1,1,0,0,0,0,0,7,0,1,31,2020-2021
Marc Cucurella,15,es ESP,LB,22-274,45,17,14,3,0,0,0,1,3,0,0,0,0,13,0,0,31,2020-2021
   Emmanuel Amankwaa Akurugu,40,gh GHA,LB,19-153,45,14,11,3,0,0,0,1,3,0,0,0,0,9,0,1,31,2020-2021
Sofian Chakla,21,ma MAR,CB,27-232,90,21,21,0,0,0,0,1,0,0,0,0,0,12,0,0,31,2020-2021
Djené,2,tg TOG,CB,29-112,90,23,22,1,1,0,0,0,0,0,0,0,0,19,0,0,31,2020-2021
Damián Suárez,22,uy URU,RB,32-360,90,34,30,4,3,0,1,2,1,0,0,0,0,18,0,2,31,2020-2021
David Soria,13,es ESP,GK,28-018,90,23,15,8,2,0,0,0,0,0,0,0,0,12,0,0,31,2020-2021
Pablo Piatti,20,ar ARG,FW,32-024,82,16,16,0,0,0,1,0,0,0,0,0,0,9,0,2,32,2020-2021
   Omenuke Mfulu,6,cd COD,CM,27-035,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2020-2021
Lucas Boyé,9,ar ARG,FW,25-055,89,30,29,1,0,0,2,1,0,0,0,0,0,21,0,2,32,2020-2021
