player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,Matchweek,Season
   Hugo Guillamón,6,es ESP,LM,23-228,8,4,7,57.1,50,23,3,4,75.0,1,2,50.0,0,0,,0,0.2,0.1,1,1,0,0,1,5,2023-2024
Sergi Canós,7,es ESP,LW,26-226,58,12,15,80.0,176,71,8,9,88.9,2,4,50.0,1,1,100.0,0,0.0,0.0,0,1,1,0,1,5,2023-2024
   Diego López,16,es ESP,"LW,FW",21-126,32,2,6,33.3,20,0,2,2,100.0,0,1,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,5,2023-2024
Francisco Perez,23,es ESP,RW,21-007,90,13,14,92.9,191,85,9,10,90.0,3,3,100.0,1,1,100.0,1,0.1,0.0,1,1,0,0,2,5,2023-2024
Domingos André Ribeiro Almeida,10,pt POR,AM,23-109,69,24,28,85.7,328,85,13,15,86.7,9,10,90.0,1,1,100.0,0,0.3,0.1,3,1,0,0,3,5,2023-2024
   Selim Amallah,19,ma MAR,"LW,AM",26-305,21,2,5,40.0,15,0,2,2,100.0,0,2,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,5,2023-2024
Javier Guerra,8,es ESP,"DM,RM",20-258,90,16,24,66.7,245,78,8,10,80.0,4,6,66.7,2,4,50.0,0,0.0,0.0,0,1,0,0,2,5,2023-2024
José Luis García Vayá,18,es ESP,"DM,CM",25-036,90,39,46,84.8,517,114,27,28,96.4,8,11,72.7,2,5,40.0,0,0.0,0.0,0,2,1,0,3,5,2023-2024
José Luis Gayà,14,es ESP,LB,28-114,69,30,41,73.2,580,287,13,14,92.9,11,14,78.6,4,9,44.4,0,0.1,0.0,2,6,0,0,4,5,2023-2024
   Cenk Özkacar,15,tr TUR,LB,22-345,21,8,8,100.0,79,50,6,6,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,5,2023-2024
Mouctar Diakhaby,4,gn GUI,CB,26-271,90,30,33,90.9,667,135,13,13,100.0,9,9,100.0,8,10,80.0,0,0.0,0.0,0,1,0,0,0,5,2023-2024
Cristhian Mosquera,3,co COL,"CB,RB",19-081,90,31,36,86.1,552,94,8,9,88.9,19,22,86.4,2,2,100.0,0,0.0,0.0,0,0,0,0,1,5,2023-2024
Thierry Correia,12,pt POR,RB,24-191,82,38,45,84.4,537,131,21,21,100.0,13,15,86.7,2,6,33.3,1,0.1,0.0,1,2,0,0,2,5,2023-2024
   César Tárrega,29,es ESP,CB,21-202,8,5,5,100.0,90,22,1,1,100.0,4,4,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,5,2023-2024
Giorgi Mamardashvili,25,ge GEO,GK,22-352,90,17,36,47.2,741,683,1,1,100.0,5,5,100.0,11,30,36.7,0,0.0,0.0,0,0,0,0,0,5,2023-2024
Álvaro Morata,19,es ESP,FW,30-328,90,13,15,86.7,182,7,5,6,83.3,5,6,83.3,1,1,100.0,0,0.0,0.0,0,0,0,0,0,5,2023-2024
Antoine Griezmann,7,fr FRA,"FW,CM",32-179,61,15,23,65.2,224,66,7,7,100.0,5,8,62.5,1,1,100.0,0,0.2,0.2,1,2,1,0,2,5,2023-2024
   José María Giménez,2,uy URU,"CB,CM",28-239,29,21,27,77.8,433,227,6,8,75.0,12,12,100.0,3,6,50.0,0,0.0,0.0,1,5,0,0,2,5,2023-2024
Thomas Lemar,11,fr FRA,CM,27-308,43,16,19,84.2,213,56,11,13,84.6,5,5,100.0,0,1,0.0,0,0.0,0.0,0,2,0,0,3,5,2023-2024
   Javi Galán,17,es ESP,LB,28-301,47,25,34,73.5,359,76,13,15,86.7,10,13,76.9,1,3,33.3,0,0.1,0.1,2,0,1,1,2,5,2023-2024
Pablo Barrios,24,es ESP,CM,20-093,90,62,73,84.9,1040,341,27,32,84.4,29,31,93.5,5,7,71.4,0,0.0,0.1,1,9,2,0,11,5,2023-2024
Marcos Llorente,14,es ESP,CM,28-229,90,28,39,71.8,383,84,19,25,76.0,7,8,87.5,1,2,50.0,0,0.0,0.1,1,2,2,1,7,5,2023-2024
Rodrigo Riquelme,25,es ESP,"LB,CM",23-167,45,11,15,73.3,157,41,9,10,90.0,1,2,50.0,1,1,100.0,0,0.0,0.0,0,1,0,0,2,5,2023-2024
   Nahuel Molina,16,ar ARG,RB,25-163,45,33,44,75.0,468,201,20,22,90.9,9,12,75.0,2,3,66.7,0,0.2,0.2,1,1,4,2,2,5,2023-2024
Mario Hermoso,22,es ESP,CB,28-090,61,56,61,91.8,1067,411,24,24,100.0,23,26,88.5,9,10,90.0,0,0.0,0.0,0,14,0,0,10,5,2023-2024
   Saúl Ñíguez,8,es ESP,"CM,CB",28-299,29,17,18,94.4,274,91,11,11,100.0,5,6,83.3,1,1,100.0,0,0.0,0.0,0,3,1,0,1,5,2023-2024
Axel Witsel,20,be BEL,CB,34-247,90,68,74,91.9,1133,458,34,38,89.5,29,31,93.5,4,4,100.0,0,0.0,0.0,0,5,0,0,9,5,2023-2024
Stefan Savić,15,me MNE,CB,32-251,45,30,39,76.9,550,204,6,10,60.0,21,25,84.0,2,3,66.7,0,0.0,0.0,0,5,1,0,7,5,2023-2024
   Ángel Correa,10,ar ARG,FW,28-191,45,14,23,60.9,241,116,6,7,85.7,3,5,60.0,3,8,37.5,0,0.0,0.3,0,1,3,1,3,5,2023-2024
César Azpilicueta,3,es ESP,"CB,RB",34-019,90,71,81,87.7,1031,303,40,44,90.9,25,28,89.3,2,4,50.0,0,0.0,0.0,0,11,0,0,5,5,2023-2024
Jan Oblak,13,si SVN,GK,30-252,90,16,16,100.0,338,272,4,4,100.0,11,11,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,5,2023-2024
