player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Aridane Hernández,23,es ESP,CB,30-225,90,54,5,25,28,1,1,54,0,0,,0,,20,67,7,0,0,0,1,0,22,0,12,2019-2020
Nacho Vidal,2,es ESP,RB,24-283,90,74,3,24,32,18,2,74,2,1,50.0,1,50.0,34,155,75,3,2,2,2,0,41,3,12,2019-2020
Rubén,13,es ESP,GK,35-134,90,39,31,39,0,0,0,39,0,0,,0,,21,161,98,0,0,0,0,0,18,0,12,2019-2020
Joselu,9,es ESP,FW,29-221,75,34,3,6,19,9,3,34,1,0,0.0,1,100.0,20,43,16,0,1,0,5,1,27,3,12,2019-2020
   John Guidetti,10,se SWE,FW,27-202,15,8,0,0,7,2,1,8,2,2,100.0,0,0.0,6,30,19,0,0,0,0,0,6,1,12,2019-2020
Lucas Pérez,7,es ESP,FW,31-054,90,33,0,1,20,13,4,32,0,0,,0,,13,53,28,1,1,0,2,0,13,5,12,2019-2020
Wakaso,22,gh GHA,LM,29-101,90,43,1,8,20,16,1,43,3,2,66.7,1,33.3,32,205,105,1,4,1,2,0,31,5,12,2019-2020
Manu García,19,es ESP,CM,33-191,57,24,1,3,19,2,0,24,1,1,100.0,0,0.0,11,31,0,0,0,0,1,1,10,0,12,2019-2020
   Borja Sainz,29,es ESP,CM,18-275,33,5,0,1,2,3,1,5,2,1,50.0,1,50.0,4,82,37,1,2,0,1,0,3,0,12,2019-2020
Pere Pons,20,es ESP,CM,26-256,90,35,2,7,25,4,2,35,1,0,0.0,1,100.0,21,74,49,1,0,0,3,1,19,3,12,2019-2020
Aleix Vidal,18,es ESP,RM,30-074,66,26,1,5,16,6,0,26,0,0,,0,,16,49,13,0,1,0,0,0,12,0,12,2019-2020
   Oliver Burke,24,sct SCO,RM,22-210,24,10,0,1,2,7,3,10,2,1,50.0,1,50.0,7,43,14,1,0,1,1,1,7,3,12,2019-2020
Rubén Duarte,3,es ESP,LB,24-016,90,41,2,11,23,9,0,41,0,0,,0,,13,71,20,1,0,0,0,0,12,2,12,2019-2020
Lisandro Magallán,6,ar ARG,CB,26-037,90,41,5,20,21,0,0,41,1,1,100.0,0,0.0,24,110,49,0,0,0,2,0,17,0,12,2019-2020
Víctor Laguardia,5,es ESP,CB,29-363,90,51,6,24,27,1,1,51,0,0,,0,,25,101,33,0,1,1,0,1,18,1,12,2019-2020
Martin Agirregabiria,21,es ESP,RB,23-177,90,54,3,12,33,10,0,54,0,0,,0,,26,178,131,4,2,0,1,2,24,1,12,2019-2020
Fernando Pacheco,1,es ESP,GK,27-169,90,35,30,35,0,0,0,35,0,0,,0,,11,76,49,0,0,0,0,0,9,0,12,2019-2020
Gabriel Fernández,19,uy URU,FW,25-174,90,28,1,4,15,10,1,28,1,1,100.0,0,0.0,22,132,42,3,2,0,4,3,25,7,12,2019-2020
Iago Aspas,10,es ESP,FW,32-094,90,37,0,2,18,17,1,37,1,0,0.0,1,100.0,22,132,90,3,3,0,2,1,30,5,12,2019-2020
Denis Suárez,6,es ESP,LM,25-301,63,37,0,4,22,13,1,37,5,2,40.0,3,60.0,27,194,116,3,3,0,2,5,28,8,12,2019-2020
   Pione Sisto,11,dk DEN,"LM,WB",24-272,27,27,0,2,10,15,0,27,0,0,,0,,21,135,50,2,2,0,2,3,26,3,12,2019-2020
Fran Beltrán,8,es ESP,CM,20-273,90,52,1,15,28,9,0,52,1,1,100.0,0,0.0,28,180,64,1,0,0,1,1,34,3,12,2019-2020
Stanislav Lobotka,14,sk SVK,CM,24-343,73,43,1,8,30,6,0,43,1,1,100.0,0,0.0,24,135,56,1,1,0,2,1,26,1,12,2019-2020
   Pape Cheikh Diop,24,sn SEN,CM,22-087,17,6,0,1,3,2,0,6,0,0,,0,,4,37,7,0,1,0,0,0,4,0,12,2019-2020
Brais Méndez,23,es ESP,"RM,WB",22-300,90,52,2,11,25,16,2,52,3,3,100.0,0,0.0,27,91,39,2,0,0,4,1,28,7,12,2019-2020
Lucas Olaza,15,uy URU,"LB,CB",25-105,90,81,3,21,44,17,0,81,1,0,0.0,1,100.0,38,189,108,2,4,0,1,0,51,7,12,2019-2020
Néstor Araujo,4,mx MEX,CB,28-066,90,67,8,34,34,1,0,67,0,0,,0,,23,134,74,1,0,0,0,0,28,0,12,2019-2020
Joseph Aidoo,18,gh GHA,CB,24-035,80,50,8,32,18,1,0,50,0,0,,0,,18,106,46,0,0,0,1,0,22,0,12,2019-2020
