player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
Nikola Kalinić,9,hr CRO,FW,30-337,55,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,15,2018-2019
   Vitolo,23,es ESP,"LM,FW",29-036,35,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,15,2018-2019
Thomas Lemar,11,fr FRA,LM,23-026,63,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0,15,2018-2019
   Francisco Montero,35,es ESP,"LB,LM",19-328,27,1,0,1,0,0,0,0,,0,1,0,1,0,1,3,0,15,2018-2019
Rodri,14,es ESP,CM,22-169,90,3,2,1,2,0,3,4,75.0,1,2,0,2,1,4,8,0,15,2018-2019
Thomas Partey,5,gh GHA,CM,25-178,90,3,0,2,1,0,0,3,0.0,3,4,1,3,1,4,1,0,15,2018-2019
Ángel Correa,10,ar ARG,"RM,FW",23-274,90,0,0,0,0,0,0,2,0.0,2,3,0,3,1,1,0,0,15,2018-2019
Saúl Ñíguez,8,es ESP,"LB,RM",24-017,90,2,1,2,0,0,0,1,0.0,1,3,0,3,2,4,3,0,15,2018-2019
Lucas Hernández,21,fr FRA,CB,22-297,35,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,15,2018-2019
   José María Giménez,24,uy URU,CB,23-322,55,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,4,0,15,2018-2019
Stefan Savić,15,me MNE,CB,27-334,90,0,0,0,0,0,0,0,,0,2,1,1,0,0,5,0,15,2018-2019
Santiago Arias,4,co COL,RB,26-329,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,15,2018-2019
Jan Oblak,13,si SVN,GK,25-335,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,15,2018-2019
Jonathan Calleri,12,ar ARG,FW,25-076,90,1,0,0,0,1,1,2,50.0,1,0,0,0,0,1,0,0,15,2018-2019
Jony,23,es ESP,"LM,LW",27-152,90,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0,15,2018-2019
Ibai Gómez,11,es ESP,"RW,RM",29-027,71,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,15,2018-2019
   Burgui,14,es ESP,RM,25-040,19,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,2018-2019
Wakaso,22,gh GHA,LM,28-136,45,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,15,2018-2019
   Borja Bastón,18,es ESP,FW,26-105,45,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,15,2018-2019
Tomás Pina Isla,8,es ESP,CM,31-055,90,1,1,1,0,0,1,1,100.0,0,0,0,0,3,4,0,0,15,2018-2019
Manu García,19,es ESP,"CM,RM",32-226,90,4,2,2,0,2,2,4,50.0,2,1,0,1,1,5,3,0,15,2018-2019
Rubén Duarte,3,es ESP,LB,23-051,90,3,1,2,1,0,1,4,25.0,3,3,0,3,1,4,4,0,15,2018-2019
Ximo Navarro,15,es ESP,CB,28-319,90,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,5,0,15,2018-2019
Víctor Laguardia,5,es ESP,CB,29-033,90,0,0,0,0,0,0,1,0.0,1,4,1,3,2,2,7,0,15,2018-2019
Martin Agirregabiria,21,es ESP,RB,22-212,80,1,1,1,0,0,0,0,,0,2,0,2,0,1,1,0,15,2018-2019
   Rubén Sobrino,7,es ESP,RB,26-190,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,2018-2019
Fernando Pacheco,1,es ESP,GK,26-204,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,15,2018-2019
Rodrigo,19,es ESP,FW,27-277,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,15,2018-2019
Santi Mina,22,es ESP,FW,23-001,68,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,15,2018-2019
   Michy Batshuayi,23,be BEL,FW,25-067,22,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,15,2018-2019
Gonçalo Guedes,7,pt POR,LM,22-009,60,2,1,0,2,0,1,2,50.0,1,2,0,2,1,3,0,0,15,2018-2019
   Denis Cheryshev,11,ru RUS,LM,27-347,30,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,15,2018-2019
Francis Coquelin,17,fr FRA,CM,27-209,90,2,2,0,1,1,1,1,100.0,0,1,1,0,5,7,2,0,15,2018-2019
Daniel Parejo,10,es ESP,CM,29-236,90,0,0,0,0,0,0,3,0.0,3,0,0,0,2,2,1,0,15,2018-2019
Carlos Soler,8,es ESP,RM,21-340,90,1,0,0,1,0,0,3,0.0,3,0,0,0,0,1,0,0,15,2018-2019
José Luis Gayà,14,es ESP,LB,23-197,90,0,0,0,0,0,0,0,,0,3,0,3,0,0,4,0,15,2018-2019
