Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Matchweek,Season
   Omenuke Mfulu,22,cd COD,CM,29-145,6,0,0,0,0,0,0,0,0,8.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0,4.0,0.0,0.0,0.0,1,2023-2024
Javier Muñoz,5,es ESP,CM,28-165,90,0,0,0,0,0,0,0,0,49.0,1.0,0,2.0,0.0,0.0,0.0,1.0,0.0,33.0,43.0,76.7,2.0,35.0,1.0,0.0,0.0,1,2023-2024
Daley Sinkgraven,18,nl NED,LB,28-039,63,0,0,0,0,0,0,0,0,64.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,51.0,56.0,91.1,4.0,37.0,1.0,0.0,0.0,1,2023-2024
   Sergi Cardona,3,es ESP,LB,24-035,27,0,0,0,0,0,0,0,0,22.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,21.0,76.2,2.0,13.0,0.0,0.0,0.0,1,2023-2024
Álex Suárez,4,es ESP,CB,30-147,90,0,0,0,0,0,0,0,0,97.0,3.0,2,1.0,0.0,0.0,0.0,0.0,0.0,75.0,82.0,91.5,2.0,56.0,0.0,0.0,0.0,1,2023-2024
Saúl Coco,23,gq EQG,CB,24-184,90,0,0,0,0,0,0,0,0,67.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,56.0,58.0,96.6,3.0,47.0,2.0,0.0,0.0,1,2023-2024
Álvaro Lemos,14,es ESP,RB,30-135,90,0,0,0,0,0,0,1,0,64.0,3.0,2,1.0,0.0,0.0,0.0,0.0,0.0,46.0,54.0,85.2,4.0,31.0,1.0,1.0,0.0,1,2023-2024
Álvaro Vallés,13,es ESP,GK,26-018,90,0,0,0,0,0,0,0,0,40.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,36.0,52.8,0.0,24.0,0.0,0.0,0.0,1,2023-2024
Marc Cardona,19,es ESP,FW,28-035,63,0,0,0,0,0,0,0,0,26.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.0,68.4,0.0,14.0,1.0,5.0,1.0,1,2023-2024
   Munir El Haddadi,17,ma MAR,FW,27-345,27,0,0,0,0,0,0,0,0,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,87.5,2.0,13.0,0.0,2.0,1.0,1,2023-2024
Sandro Ramírez,9,es ESP,LW,28-034,90,0,0,0,0,2,1,0,0,36.0,0.0,0,0.0,0.1,0.1,0.0,3.0,1.0,17.0,23.0,73.9,2.0,26.0,2.0,2.0,0.0,1,2023-2024
Jonathan Viera,21,es ESP,RW,33-295,90,1,0,1,1,0,0,0,0,68.0,0.0,0,0.0,0.8,0.0,0.0,3.0,0.0,54.0,61.0,88.5,7.0,41.0,0.0,7.0,4.0,1,2023-2024
Enzo Loiodice,12,fr FRA,CM,22-258,90,0,0,0,0,1,0,1,0,83.0,2.0,1,0.0,0.0,0.0,0.0,1.0,0.0,66.0,75.0,88.0,3.0,54.0,1.0,3.0,0.0,1,2023-2024
