player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
   Gonzalo Escalante,5,ar ARG,CM,26-172,18,16,1,2,9,5,2,16,1,0,0.0,1,100.0,9,28,14,1,0,0,0,0,8,0,4,2019-2020
Papakouli Diop,8,sn SEN,CM,33-180,90,35,1,4,19,12,3,35,1,0,0.0,1,100.0,19,105,27,2,2,2,1,2,20,0,4,2019-2020
Fabián Orellana,14,cl CHI,RM,33-231,90,57,0,3,17,37,6,57,6,2,33.3,4,66.7,34,194,96,3,3,3,2,5,39,12,4,2019-2020
José Ángel,15,es ESP,LB,30-010,90,57,2,12,31,16,0,57,0,0,,0,,39,202,91,1,1,0,0,1,31,1,4,2019-2020
Anaitz Arbilla,23,es ESP,CB,32-123,90,74,3,31,38,5,1,74,0,0,,0,,37,233,121,1,1,0,1,0,34,0,4,2019-2020
Iván Ramis,4,es ESP,CB,34-325,75,52,5,26,27,1,1,52,0,0,,0,,21,95,32,0,0,0,2,0,15,0,4,2019-2020
   Sergio Álvarez,6,es ESP,CB,27-235,15,11,0,3,8,0,0,11,0,0,,0,,7,44,16,0,0,0,0,0,6,0,4,2019-2020
Álvaro Tejero,24,es ESP,RB,23-057,90,66,0,13,27,27,1,66,1,1,100.0,0,0.0,43,271,143,4,7,0,2,0,39,7,4,2019-2020
Marko Dmitrović,1,rs SRB,GK,27-234,90,37,23,37,1,0,0,37,0,0,,0,,19,129,88,0,0,0,0,0,12,0,4,2019-2020
Jonathan Calleri,12,ar ARG,FW,25-357,90,26,4,5,12,9,3,26,0,0,,0,,8,107,93,7,1,2,2,0,11,2,4,2019-2020
Facundo Ferreyra,9,ar ARG,FW,28-185,77,18,0,0,10,8,2,18,0,0,,0,,6,22,19,1,0,1,2,0,11,2,4,2019-2020
   Esteban Granero,23,es ESP,FW,32-075,13,9,1,2,6,1,1,9,0,0,,0,,6,13,2,0,0,0,1,2,5,0,4,2019-2020
Sergi Darder,10,es ESP,"LM,CM",25-267,90,36,3,8,19,10,0,36,0,0,,0,,12,60,27,0,0,0,0,0,19,1,4,2019-2020
Marc Roca,21,es ESP,CM,22-293,66,33,5,16,14,3,0,33,0,0,,0,,9,19,8,0,0,0,1,0,16,0,4,2019-2020
   Matías Vargas,22,ar ARG,"RM,LM",22-130,24,7,1,3,3,1,0,7,0,0,,0,,5,37,8,0,0,0,0,1,6,0,4,2019-2020
Víctor Sánchez,4,es ESP,CM,32-007,90,38,3,19,16,4,0,38,2,1,50.0,1,50.0,16,38,8,0,0,0,0,0,21,0,4,2019-2020
