playerId,pid,nn
1544,1,Gazzaniga
1548,4,Lázaro
1478,2,Marcao
1512,4,Paciencia
1523,3,Reinier
1232,2,John Chetauya
1554,4,Álvaro Giménez
1407,2,Fresneda
1498,4,Samu Castillejo
1268,1,M. Morro
1467,3,Artero
1533,2,Reguilón
1507,2,Christensen
973,4,Miguel Rodríguez
1426,2,Centelles
1437,1,Fuoli
1469,2,Biel Farrés
1497,2,Álex Sola
1539,4,Kadewere
1483,4,Momo Cho
1518,3,Rubén Sánchez
1549,4,Kenedy
939,2,Araújo
1040,4,Andrés
1375,2,Luis Pérez
1459,3,Borja García
1524,4,Milovanovic
1563,1,Iago Herrerin
1564,3,Carlos Álvarez
1565,3,Barrios
1063,4,R.D.T.
1566,2,Lautaro Blanco
1572,3,Youba Diarra
1567,2,Raúl Parra
1571,1,Iñaki Peña
1576,2,Abner
1570,2,Badé
1569,2,César Montes
1568,4,Luis Suárez
1575,3,Gonzalo Villar
1573,1,Jörgensen
1574,2,Magallán
1453,2,Juanpe
1579,2,Lucas Rosa
1577,4,Tsygankov
1418,4,Sadiq
1393,3,Anuar
1438,3,Rojas
1465,3,Álex Sala
1580,4,Larin
1581,3,Escalante
1583,4,Machís
1585,4,Bryan Gil
1578,2,Pierre Gabriel
1582,2,Callens
1586,3,Amallah
1588,2,Augustinsson
1589,3,Pape Gueye
1590,3,Hongla
1368,5,Ancelotti
1591,4,Seferovic
1593,4,Ayoze Pérez
1595,3,Pablo Marín
1596,3,Gragera
1587,1,Mariño
1592,2,Doherty
1594,2,Meré
1597,4,Chris Ramos
1442,5,Michel
1357,5,Simeone
1361,5,Xavi
1366,5,Javier Aguirre
1367,5,Manuel Pellegrini
1363,5,Iraola
1369,5,Imanol Alguacil
1559,5,Carlos Carvalhal
1599,1,Diego Alves
1600,5,Rubén Baraja
1358,5,Jagoba Arrasate
1359,5,Sergio González
1409,5,Rubi
1481,5,Ernesto Valverde
1558,5,Quique Setién
1601,4,Álvaro 
1602,3,Pape Cheikh
1603,3,Terrats
1604,2,Hadzikadunic
1606,5,Mendilibar
1605,5,Beccacece
1607,5,Pezzolano
1560,4,Juan Cruz
1608,5,Luis Garcia
1260,4,Diego López
1611,5,Jose Bordalas
1452,3,Aleix García
541,4,Joao Félix
1701,4,Dovbyk
1711,3,Marc Roca
1106,3,Iván Martín
1712,1,Arrizabalaga
1759,2,Joao Cancelo
1782,4,Samu
1621,1,Valles
1477,2,Witsel
1628,4,Pejiño
1468,2,Arnau
1680,2,Daley Blind
1708,3,Gundogan
1675,2,Azpilicueta
1707,2,Mika Marmol
1710,2,Mosquera
102,3,Rakitić
581,3,Rioja
1246,3,Blanco
1434,3,Samu Costa
1609,3,Guerra
1681,4,Sávio
1715,3,Fermin
1610,3,Fran Pérez
1620,3,Loiodice
1488,3,Samuel Lino
1358,5,Jagoba Arrasate
1369,5,Imanol Alguacil
1717,5,Francisco
1722,1,Nyland
1781,4,Lukébakio
1791,2,Sergio Ramos
1795,3,Kouame
1422,1,Fernando
1091,2,Sedlar
1614,2,Cardona
1677,2,Paredes
1624,3,Kirian
1678,3,Bellingham
1745,3,Hugo Sotelo
1748,2,Chadi Riad
1790,3,Soumaré
1793,1,Guaita
365,2,Duarte
1627,2,Coco
1640,2,Miguel Rubio
1690,2,Traoré
1709,2,Starfelt
1697,3,Dion
1647,3,Bryan
1714,4,Lamine Yamal
1768,2,Alti
1797,4,Greenwood
1645,1,André F.
1190,2,Miquel
1650,2,Ricard
1700,2,Rafa Marín
1704,2,Söyüncü
602,3,Antonio Puertas
1051,3,Melendo
1619,3,Moleiro
1646,3,Sergio Ruiz
1658,3,Alkain
1659,3,A. Rebbach
1673,3,Brahim
1689,3,Bamba
1699,3,Arribas
415,4,En-Nesyri
1177,4,Marc
1643,4,Callejon
1367,5,Manuel Pellegrini
1672,5,Luis Garcia
1723,3,Zakharyan
1769,4,Akhomach
1786,4,Roman Yaremchuk
1373,5,Pacheta
1798,4,Raúl
1799,4,Javi Llabrés
1615,2,Álex Suárez
1349,3,Uzuni
1694,3,Sow
1688,3,Pablo Torre
1691,3,Dotor
1686,4,Ben Brereton
1613,3,Marvin
1719,3,Unai G
1758,2,Araujo
1731,2,Lucas Pires
1765,3,Gozálbez
1766,3,González
1785,3,Máximo Perrone
1787,3,Prados
